id,name,party,sector,country
ul,Ursula von der Leyen,CDU,p,de
lk,Lars Klingbeil,SPD,p,de
nr,Norbert Röttgen,CDU,p,de
sw,Sahra Wagenknecht,Linke,p,de
cs,Constanze Stelzenmüller,,j,USA
cl,Christian Lindner,FDP,p,de
ks,Karl Schlögel,,h,de
lm,Ljudmyla Melnyk,,w,uk
kd,Kristina Dunz,,journalist,de
el,Egils Levits,,p,lt
ab,Annalena Baerbock,Grüne ,p,de
ft,Frans Timmermans,,p,
am,Andrij Melnyk,,b,uk
agl,Alexander Graf Lambsdorff,FDP,p,de
er,Egon Ramms,,bw,de
rh,Robert Habeck,Grüne ,p,de
cm,Claudia Major,,w,de
kp,Katja Petrowskaja,,journalist,deuk
rk,Roderich Kiesewetter,CDU,p,de
cla,Christine Lambrecht,SPD,p,de
sb,Stephanie Babst,,pa,
ch,Christoph Heusgen,,Sicherheit,de
mw,Marina Weisband,,pu,deuk
os,Olaf Scholz,SPD,p,de
ms,Markus Söder,CSU,p,de
vg,Veronika Grimm,,w,de
mb,Marieluise Beck,Grüne,p,de
ra,Robin Alexander,,journalist,de
se,Saskia Esken,SPD,p,de
mas,MarieAgnes StrackZimmermann,FDP,p,de
jw,Johann David Wadephul,CDU,p,de
mf,Markus Feldenkirchen,,journalist,de
kk,Kevin Kühnert,SPD,p,de
bh,Britta Haßelmann,Grüne,p,de
rp,Ruprecht Polenz,CDU,p,de
hw,Harald Welzer,,pu,de
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
SPD,,,,
CDU,,,,
Grüne,,,,
FDP,,,,
Linke,,,,
